"date","count"
2020-06-03T03:31:07-04:00,39
2020-06-03T03:46:07-04:00,35
2020-06-03T04:01:07-04:00,46
2020-06-03T04:16:07-04:00,32
2020-06-03T04:31:07-04:00,17
2020-06-03T04:46:07-04:00,29
2020-06-03T05:01:07-04:00,39
2020-06-03T05:16:07-04:00,6
2020-06-03T05:31:07-04:00,19
2020-06-03T05:46:07-04:00,10
2020-06-03T06:01:07-04:00,12
2020-06-03T06:16:07-04:00,12
2020-06-03T06:31:07-04:00,14
2020-06-03T06:46:07-04:00,17
2020-06-03T07:01:07-04:00,21
2020-06-03T07:16:07-04:00,21
2020-06-03T07:31:07-04:00,20
2020-06-03T07:46:07-04:00,29
2020-06-03T08:01:07-04:00,41
2020-06-03T08:16:07-04:00,59
2020-06-03T08:31:07-04:00,80
2020-06-03T08:46:07-04:00,58
2020-06-03T09:01:07-04:00,42
2020-06-03T09:16:07-04:00,70
2020-06-03T09:31:07-04:00,88
2020-06-03T09:46:07-04:00,98
2020-06-03T10:01:07-04:00,95
2020-06-03T10:16:07-04:00,99
2020-06-03T10:31:07-04:00,108
2020-06-03T10:46:07-04:00,129
2020-06-03T11:01:07-04:00,111
2020-06-03T11:16:07-04:00,129
2020-06-03T11:31:07-04:00,132
2020-06-03T11:46:07-04:00,100
2020-06-03T12:01:07-04:00,35
2020-06-03T12:16:07-04:00,34
2020-06-03T12:31:07-04:00,33
2020-06-03T12:46:07-04:00,62
2020-06-03T13:01:07-04:00,126
2020-06-03T13:16:07-04:00,103
2020-06-03T13:31:07-04:00,19
2020-06-03T13:46:07-04:00,22
2020-06-03T14:01:07-04:00,34
2020-06-03T14:16:07-04:00,30
2020-06-03T14:31:07-04:00,33
2020-06-03T14:46:07-04:00,19
2020-06-03T15:01:07-04:00,15
2020-06-03T15:16:07-04:00,20
2020-06-03T15:31:07-04:00,22
2020-06-03T15:46:07-04:00,18
2020-06-03T16:01:07-04:00,28
2020-06-03T16:16:07-04:00,23
2020-06-03T16:31:07-04:00,28
2020-06-03T16:46:07-04:00,28
2020-06-03T17:01:07-04:00,22
2020-06-03T17:16:07-04:00,15
2020-06-03T17:31:07-04:00,19
2020-06-03T17:46:07-04:00,21
2020-06-03T18:01:07-04:00,15
2020-06-03T18:16:07-04:00,21
2020-06-03T18:31:07-04:00,13
2020-06-03T18:46:07-04:00,22
2020-06-03T19:01:07-04:00,30
2020-06-03T19:16:07-04:00,17
2020-06-03T19:31:07-04:00,19
2020-06-03T19:46:07-04:00,23
2020-06-03T20:01:07-04:00,17
2020-06-03T20:16:07-04:00,16
2020-06-03T20:31:07-04:00,22
2020-06-03T20:46:07-04:00,25
2020-06-03T21:01:07-04:00,21
2020-06-02T11:12:08-04:00,26
2020-06-02T11:27:08-04:00,25
2020-06-02T11:42:08-04:00,27
2020-06-02T11:57:08-04:00,21
2020-06-02T12:12:08-04:00,26
2020-06-02T12:27:08-04:00,31
2020-06-02T12:42:08-04:00,14
2020-06-02T12:57:08-04:00,30
2020-06-02T13:12:08-04:00,29
2020-06-02T13:27:08-04:00,38
2020-06-02T13:42:08-04:00,16
2020-06-02T13:57:08-04:00,22
2020-06-02T14:12:08-04:00,18
2020-06-02T14:27:08-04:00,15
2020-06-02T14:42:08-04:00,30
2020-06-02T14:57:08-04:00,36
2020-06-02T15:12:08-04:00,30
2020-06-02T15:27:08-04:00,29
2020-06-02T15:42:08-04:00,26
2020-06-02T15:57:08-04:00,25
2020-06-02T16:12:08-04:00,26
2020-06-02T16:27:08-04:00,24
2020-06-02T16:42:08-04:00,19
2020-06-02T16:57:08-04:00,20
2020-06-02T17:12:08-04:00,18
2020-06-02T17:27:08-04:00,20
2020-06-02T17:42:08-04:00,18
2020-06-02T17:57:08-04:00,25
2020-06-02T18:12:08-04:00,13
2020-06-02T18:27:08-04:00,25
2020-06-02T18:42:08-04:00,17
2020-06-02T18:57:08-04:00,12
2020-06-02T19:12:08-04:00,14
2020-06-02T19:27:08-04:00,19
2020-06-02T19:42:08-04:00,19
2020-06-02T19:57:08-04:00,25
2020-06-02T20:12:08-04:00,19
2020-06-02T20:27:08-04:00,30
2020-06-02T20:42:08-04:00,26
2020-06-02T20:57:08-04:00,23
2020-06-02T21:12:08-04:00,26
2020-06-02T21:27:08-04:00,16
2020-06-02T21:42:08-04:00,14
2020-06-02T21:57:08-04:00,24
2020-06-02T22:12:08-04:00,23
2020-06-02T22:27:08-04:00,24
2020-06-02T22:42:08-04:00,25
2020-06-02T22:57:08-04:00,48
2020-06-02T23:12:08-04:00,98
2020-06-02T23:27:08-04:00,84
2020-06-02T23:42:08-04:00,94
2020-06-02T23:57:08-04:00,70
2020-06-03T00:12:08-04:00,72
2020-06-03T00:27:08-04:00,77
2020-06-03T00:42:08-04:00,61
2020-06-03T00:57:08-04:00,50
2020-06-03T01:12:08-04:00,62
2020-06-03T01:27:08-04:00,44
2020-06-03T01:42:08-04:00,55
2020-06-03T01:57:08-04:00,34
2020-06-03T02:12:08-04:00,47
2020-06-03T02:27:08-04:00,42
2020-06-03T02:42:08-04:00,43
2020-06-03T02:57:08-04:00,45
2020-06-03T03:12:08-04:00,45
2020-06-03T03:27:08-04:00,18
2020-06-03T03:42:08-04:00,22
2020-06-03T03:57:08-04:00,31
2020-06-03T04:12:08-04:00,26
2020-06-03T04:27:08-04:00,12
2020-06-03T04:42:08-04:00,15
2020-06-03T04:57:08-04:00,11
2020-06-03T05:12:08-04:00,11
2020-06-03T05:27:08-04:00,10
2020-06-03T05:42:08-04:00,15
2020-06-03T05:57:08-04:00,19
2020-06-03T06:12:08-04:00,24
2020-06-03T06:27:08-04:00,22
2020-06-03T06:42:08-04:00,24
2020-06-03T06:57:08-04:00,33
2020-06-03T07:12:08-04:00,42
2020-06-03T07:27:08-04:00,63
2020-06-03T07:42:08-04:00,89
2020-06-03T07:57:08-04:00,42
2020-06-03T08:12:08-04:00,51
2020-06-03T08:27:08-04:00,83
2020-06-03T08:42:08-04:00,99
2020-06-03T08:57:08-04:00,98
2020-06-03T09:12:08-04:00,95
2020-06-03T09:27:08-04:00,94
2020-06-03T09:42:08-04:00,120
2020-06-03T09:57:08-04:00,129
2020-06-03T10:12:08-04:00,113
2020-06-03T10:27:08-04:00,136
2020-06-03T10:42:08-04:00,142
2020-06-03T10:57:08-04:00,35
